Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
993768;30/07/2013;30/10/2013;10;46;30;14;0;44;90;100
993768;01/05/2014;31/05/2014;15;21;33;31;0;64;85;100
993768;01/06/2014;30/08/2014;12;17;38;33,00;0;71;88;100
993768;01/09/2014;30/09/2014;21;38;31;14;0;44;83;104
993768;01/10/2014;31/12/2014;24;44;30;7;0;37;81;105
1011925;01/01/2015;31/03/2015;0;48;28;24;0;52;100;100
1011925;01/04/2015;30/04/2015;3;53;30;12;0;42;95;98
1011925;01/05/2015;31/07/2015;3;40;38;16;0;54;94;98
1011925;01/08/2015;30/09/2015;3;51;32;12;0;44;95;98
