Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
770568;30/07/2013;30/10/2013;64;21;15;0;0;15;36;100
770568;01/05/2014;31/05/2014;82;3;10;5;0;15;18;100
770568;01/06/2014;30/08/2014;82;3;10;5,00;0;15;18;100
770568;01/09/2014;30/09/2014;88;12;1;0;0;1;12;101
770568;01/10/2014;31/12/2014;93;6;0;0;0;0;6;100
784492;01/01/2015;31/03/2015;84;15;1;0;0;1;16;100
784492;01/04/2015;30/04/2015;82;15;3;0;0;3;18;100
784492;01/05/2015;31/07/2015;86;13;1;0;0;1;13;99
784492;01/08/2015;30/09/2015;92;8;0;0;0;0;8;99
