Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1193145;30/07/2013;30/10/2013;75;22;3;0;0;3;25;100
1193145;01/05/2014;31/05/2014;17;35;33;15;0;48;83;100
1193145;01/06/2014;30/08/2014;17;33;34;16,00;0;50;83;100
1193145;01/09/2014;30/09/2014;31;31;26;6;0;31;62;93
1193145;01/10/2014;31/12/2014;31;48;15;0;0;15;62;94
1214871;01/01/2015;31/03/2015;21;27;27;16;0;44;71;92
1214871;01/04/2015;30/04/2015;15;31;33;14;0;47;78;93
1214871;01/05/2015;31/07/2015;10;25;40;17;0;57;82;92
1214871;01/08/2015;30/09/2015;14;27;38;14;0;51;79;92
