Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1344421;30/07/2013;30/10/2013;55;38;7;0;0;7;45;100
1344421;01/05/2014;31/05/2014;27;35;24;14;0;38;73;100
1344421;01/06/2014;30/08/2014;26;36;24;14;0;38;74;100
1344421;01/09/2014;30/09/2014;45;42;13;0;0;13;55;100
1344421;01/10/2014;31/12/2014;50;38;12;0;0;12;50;100
1368984;01/01/2015;31/03/2015;40;37;18;5;0;23;60;100
1368984;01/04/2015;30/04/2015;19;46;26;10;0;36;82;100
1368984;01/05/2015;31/07/2015;8;32;45;15;0;60;92;100
1368984;01/08/2015;30/09/2015;27;57;10;5;0;15;72;100
