Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1727564;30/07/2013;30/10/2013;10;35;40;15;0;55;90;100
1727564;01/05/2014;31/05/2014;20;36;25;20;0;45;81;101
1727564;01/06/2014;30/08/2014;15;33;30;22,00;0;52;85;100
1727564;01/09/2014;30/09/2014;16;43;18;10;0;29;71;87
1727564;01/10/2014;31/12/2014;15;45;18;8;0;27;72;87
1759071;01/01/2015;31/03/2015;10;46;17;12;0;29;75;85
1759071;01/04/2015;30/04/2015;14;30;26;11;0;37;67;81
1759071;01/05/2015;31/07/2015;10;28;30;13;0;44;72;81
1759071;01/08/2015;30/09/2015;9;28;34;11;0;44;72;81
