Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1254848;30/07/2013;30/10/2013;67;26;8;0;0;8;34;101
1254848;01/05/2014;31/05/2014;59;21;20;0;0;20;41;100
1254848;01/06/2014;30/08/2014;59;21;19;0.3;0;19;40;99
1254848;01/09/2014;30/09/2014;57;33;11;0;0;11;44;100
1254848;01/10/2014;31/12/2014;72;24;4;0;0;4;28;100
1276953;01/01/2015;31/03/2015;47;42;11;0;0;11;53;100
1276953;01/04/2015;30/04/2015;7;46;41;6;0;47;93;100
1276953;01/05/2015;31/07/2015;7;44;43;6;0;49;93;100
1276953;01/08/2015;30/09/2015;5;83;12;0;0;12;95;100
