Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1102227;30/07/2013;30/10/2013;66;28;6;0;0;6;34;100
1102227;01/05/2014;31/05/2014;44;41;15;0;0;15;56;100
1102227;01/06/2014;30/08/2014;40;43;17;0,00;0;17;60;100
1102227;01/09/2014;30/09/2014;78;17;5;0;0;5;22;100
1102227;01/10/2014;31/12/2014;77;20;3;0;0;3;24;100
1122365;01/01/2015;31/03/2015;66;27;7;0;0;7;34;100
1122365;01/04/2015;30/04/2015;65;27;8;0;0;8;35;100
1122365;01/05/2015;31/07/2015;61;26;13;0;0;13;39;100
1122365;01/08/2015;30/09/2015;71;21;7;0;0;7;29;100
