Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
517216;30/07/2013;30/10/2013;52;40;8;0;0;8;48;100
517216;01/05/2014;31/05/2014;33;41;15;11;0;26;67;100
517216;01/06/2014;30/08/2014;30;42;16;11;0;27;69;99
517216;01/09/2014;30/09/2014;50;37;14;0;0;14;50;101
517216;01/10/2014;31/12/2014;85;11;4;0;0;4;15;100
526666;01/01/2015;31/03/2015;75;21;4;0;0;4;25;100
526666;01/04/2015;30/04/2015;39;34;19;8;0;27;61;100
526666;01/05/2015;31/07/2015;31;30;30;8;0;38;68;100
526666;01/08/2015;30/09/2015;43;36;16;5;0;21;57;100
