Population;Periodstart;Periodsend;IPC1;IPC2;IPC3;IPC4;IPC5;IPC>=3;IPC>=2;ALL
1055844;30/07/2013;30/10/2013;50;30;20;0;0;20;50;100
1055844;01/05/2014;31/05/2014;48;31;21;0;0;21;52;100
1055844;01/06/2014;30/08/2014;39;31;26;4,00;0;30;61;100
1055844;01/09/2014;30/09/2014;43;40;26;0;0;27;66;109
1055844;01/10/2014;31/12/2014;72;22;14;0;0;14;36;109
1075135;01/01/2015;31/03/2015;63;27;9;9;0;19;46;109
1075135;01/04/2015;30/04/2015;22;29;47;8;0;55;84;106
1075135;01/05/2015;31/07/2015;17;32;51;7;0;58;90;107
1075135;01/08/2015;30/09/2015;42;40;24;0;0;24;65;107
